tag,topic,propensity
bootstrap-slider,topic_0,0.0
message-digest,topic_0,0.0
adomd.net,topic_0,0.0
longest-substring,topic_0,0.0
impresspages,topic_0,0.0
atexit,topic_0,0.0
wordpress-hook,topic_0,0.0
windows-8.1-universal,topic_0,0.0
postgresql-9.0,topic_0,0.0
typescript1.6,topic_0,0.0
bonobo,topic_0,0.0
maxdate,topic_0,0.0
material-components-android,topic_0,0.0
secure-gateway,topic_0,0.0
bonita,topic_0,0.0
ccl,topic_0,0.0
dynamic-import,topic_0,0.0
ihttpmodule,topic_0,0.0
ixmlserializable,topic_0,0.0
soot,topic_0,0.0
app-code,topic_0,0.0
custom-binding,topic_0,0.0
node-fibers,topic_0,0.0
slidify,topic_0,0.0
marklogic-dhf,topic_0,0.0
wpa,topic_0,0.0
html.beginform,topic_0,0.0
parallel-extensions,topic_0,0.0
virtual-attribute,topic_0,0.0
qt-installer,topic_0,0.0
adminhtml,topic_0,0.0
singularitygs,topic_0,0.0
boost-phoenix,topic_0,0.0
control-flow-graph,topic_0,0.0
yui-datatable,topic_0,0.0
google-plugin-eclipse,topic_0,0.0
adam,topic_0,0.0
connection-refused,topic_0,0.0
namevaluecollection,topic_0,0.0
zipline,topic_0,0.0
eclipse-marketplace,topic_0,0.0
streamsets,topic_0,0.0
express-4,topic_0,0.0
writable,topic_0,0.0
enterprise-distribution,topic_0,0.0
prototyping,topic_0,0.0
watch-os-3,topic_0,0.0
django-contenttypes,topic_0,0.0
piranha-cms,topic_0,0.0
gitweb,topic_0,0.0
compiler-directives,topic_0,0.0
cf-bosh,topic_0,0.0
amr,topic_0,0.0
neo4j-spatial,topic_0,0.0
struts2-json-plugin,topic_0,0.0
legacy-database,topic_0,0.0
globalize,topic_0,0.0
react-redux-form,topic_0,0.0
templatetags,topic_0,0.0
google-cdn,topic_0,0.0
uncrustify,topic_0,0.0
semantic-segmentation,topic_0,0.0
php-java-bridge,topic_0,0.0
embedded-fonts,topic_0,0.0
futuretask,topic_0,0.0
google-nearby,topic_212,0.021204013
java-service-wrapper,topic_0,0.0
fminsearch,topic_0,0.0
natural-language-processing,topic_0,0.0
terminator,topic_0,0.0
plivo,topic_0,0.0
extent,topic_0,0.0
treemodel,topic_0,0.0
erlang-supervisor,topic_0,0.0
gd2,topic_0,0.0
dropbox-php,topic_0,0.0
icomparer,topic_0,0.0
krl,topic_0,0.0
connection-reset,topic_0,0.0
actionmethod,topic_0,0.0
sphero-api,topic_0,0.0
angularjs-validation,topic_0,0.0
dotnetrdf,topic_0,0.0
xlink,topic_0,0.0
tilt,topic_0,0.0
stunnel,topic_0,0.0
poi-hssf,topic_0,0.0
exec-maven-plugin,topic_0,0.0
static-constructor,topic_0,0.0
xcode9.4,topic_0,0.0
dynamic-compilation,topic_0,0.0
jitpack,topic_0,0.0
remoteobject,topic_0,0.0
oxygene,topic_0,0.0
javascript-engine,topic_0,0.0
google-api-ruby-client,topic_0,0.0
monkey,topic_0,0.0
dragula,topic_0,0.0
